608,J0422-0643,22:10.8,-06:43:45.3000
609,J0423-0120,23:15.8,-01:20:33.0000
610,J0424+0805,24:57.6,+08:05:17.0000
611,J0426+0518,26:36.6,+05:18:19.9000
612,J0426+2327,26:55.7,+23:27:39.0000
613,J0426+2350,26:56.0,+23:50:26.0100
614,J0428+1732,28:35.6,+17:32:23.0000
615,J0428+3259,28:05.8,+32:59:52.0100
616,J0430+1655,30:22.3,+16:55:04.7970
617,J0431+1731,31:57.4,+17:31:35.8010
618,J0432-1614,32:29.1,-16:14:05.0000
619,J0433+0521,33:11.1,+05:21:15.0000
620,J0433+2905,33:37.8,+29:05:55.0000
621,J0434-1442,34:19.0,-14:42:55.0000
622,J0435+2923,35:58.4,+29:23:36.0000
623,J0437-1844,37:01.5,-18:44:48.0000
624,J0438+3004,38:05.0,+30:04:45.0100
625,J0438-1251,38:35.0,-12:51:03.0000
626,J0439+0520,39:02.3,+05:20:43.0000
627,J0439+3045,39:17.8,+30:45:07.0000
628,J0440+1437,40:21.1,+14:37:56.9990
629,J0442-0017,42:38.7,-00:17:43.0000
630,J0449+1121,49:07.7,+11:21:28.0000
631,J0449+6332,49:23.3,+63:32:08.9900
632,J0449-1814,49:16.2,-18:14:47.0000
633,J0452+1236,52:42.6,+12:36:24.0000
634,J0455+0655,55:20.7,+06:55:38.0000
635,J0456+0400,56:47.2,+04:00:52.0000
636,J0457+0645,57:07.7,+06:45:07.0000
637,J0457-1819,57:54.3,-18:19:16.0000
638,J0501+1356,01:45.3,+13:56:07.0000
639,J0501+7128,01:45.8,+71:28:34.0000
640,J0501-0159,01:12.8,-01:59:14.0000
641,J0502+1338,02:33.2,+13:38:10.0000
642,J0503+6600,03:56.4,+66:00:31.0100
643,J0505+0459,05:23.2,+04:59:42.0000
644,J0508+8432,08:42.4,+84:32:04.0100
645,J0509+0541,09:26.0,+05:41:35.0000
646,J0510+1800,10:02.4,+18:00:41.0000
647,J0511+1357,11:38.3,+13:57:19.0000
648,J0517+0648,17:51.3,+06:48:03.0000
649,J0521-1737,21:23.6,-17:37:30.0000
650,J0522-0725,22:23.2,-07:25:13.0000
651,J0527+0106,27:16.3,+01:06:00.0000
652,J0527+0331,27:32.7,+03:31:31.0000
